市 年	微博数	微博字数	身体形象	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
贵州 黔西南_2016	22346	570839	0.00195928132789108	570107	570107.0	0.00315554799362225	0.0086317129942274	0.0	0.0	0.00017189755607280739	0	0	2	0
贵州 黔西南_2017	17191	501064	0.002207695166246439	500522	250261.0	0.0037620723964181396	0.00940418203395655	0.0	0.0	8.191448128154207e-05	0	0	0	0
贵州 黔西南_2018	16071	418228	0.0027184837752464823	417880	104470.0	0.004525222551928784	0.008509619986599024	0.0	0.0	0.00011247248013783862	0	0	0	0
贵州 黔西南_2019	12879	413152	0.001540175328134838	412940	412940.0	0.0025621155615827966	0.008553300721654477	0.0	0.0	0.00013076960333220322	0	0	1	0
贵州 黔西南_2020	12325	344948	0.0019644598170760015	344624	114874.66666666667	0.003365987278889456	0.0076518176331306	0.0	0.0	0.00029887645666001205	0	0	0	0
贵州 黔西南_2021	5882	140157	0.0021639302114652595	140023	46674.333333333336	0.003542275197646101	0.008791412839319255	0.0	0.0	0.0004499260835719846	0	0	0	0
贵州 黔西南_2022	5188	135692	0.0015926384710670677	135624	135624.0	0.002543797557954344	0.005869167698932342	0.0	0.0	0.00018433315637350322	0	0	1	0
贵州 黔西南_2023	9046	420360	0.0015254205020323074	420212	35017.666666666664	0.002572511018247932	0.00849809143955908	0.0	0.0	7.61520375429545e-05	0	0	1	0
贵州 黔西南_2024	15266	1067178	0.001077731627955796	1067056	133382.0	0.0017431137634763311	0.013054610067325426	0.0	0.0	1.8743158747057325e-05	0	0	0	0
辽宁 丹东_2010	34826	897408	0.0019454558833038634	896962	896962.0	0.00318073675361944	0.005661332364135827	0.0	0.0	0.00013824442952990206	0	0	0	0
辽宁 丹东_2011	271618	7981483	0.0026479266704083474	7976807	3988403.5	0.0044062743400962315	0.01088468105095184	0.0	0.0	0.00010480383943099037	0	0	10	1
辽宁 丹东_2012	252476	7625274	0.0033587066709388556	7621386	29089.25954198473	0.005543742306189451	0.013036867572381192	0.0	0.0	7.465833642332247e-05	0	0	16	0
辽宁 丹东_2013	90868	2658518	0.003734904572510741	2657096	91624.0	0.006195485597810542	0.008315092868304345	0.0	0.0	9.446403140872592e-05	0	0	1	0
辽宁 丹东_2014	93600	2920507	0.005572159690702822	2918617	2918617.0	0.00972344093109853	0.010238753491807934	0.0	0.0	0.00011991981133530024	0	0	0	0
辽宁 丹东_2015	73136	2080230	0.00395152310717135	2078186	2078186.0	0.00678428206137468	0.008499239240375982	0.0	0.0	0.00015109330926105748	0	0	1	0
辽宁 丹东_2016	77636	2196112	0.00205969139724469	2194018	365669.6666666667	0.0033491065251059927	0.006735587401744197	0.0	0.0	0.0001540552538766774	0	0	32	0
辽宁 丹东_2017	48915	1402290	0.0018724292467309227	1400854	1400854.0	0.0029681894044632775	0.007810949606454349	0.0	0.0	0.00014848085524972625	0	0	1	0
